번호,사무소명,사무소주소,영업현황
1,중산공인중개사사무소,대전광역시 서구 조달청길 148,영업중
2,상일공인중개사사무소,"대전광역시 서구 제비네6길 21, 1층(도마동)",영업중
3,신영공인중개사사무소,"대전광역시 서구 도산로 45, 101호(도마1동.엔젤크리닉)",영업중
4,대일공인중개사사무소,대전광역시 서구 도산로369번길 51(괴정동),영업중
5,복수지구공인중개사사무소,"대전광역시 서구 복수남로 38, 102호",영업중
6,풍년부동산중개(주),대전광역시 서구 둔산로 208(둔산3동),영업중
7,추풍령공인중개사사무소,"대전광역시 서구 계룡로264번길 43, 지하 1층 일부(월평동)",영업중
8,누리공인중개사사무소,"대전광역시 서구 청사로 70, 상가 102호(월평3동, 누리(아))",영업중
9,아이텔공인중개사사무소,"대전광역시 서구 둔산로 133, 120호(둔산1동,둔산현대아이텔)",영업중
10,맑은아침공인중개사사무소,"대전광역시 서구 갈마로 262, 상가502-106(내동, 맑은아침(아))",영업중
11,태백공인중개사사무소,대전광역시 서구 둔산남로 189(둔산3동),영업중
12,우리공인중개사사무소,"대전광역시 서구 문정로90번길 60, 상가 102호(탄방동, 한우리(아))",영업중
13,은아마을공인중개사사무소,"대전광역시 서구 계백로1158번길 113, 상가동 104호(가수원동, 은아아파트2단지)",영업중
14,대한공인중개사사무소,대전광역시 서구 괴정로 21(괴정동),영업중
15,양지공인중개사사무소,"대전광역시 서구 둔산북로 215, 상가 104호 (둔산3동, 가람(아))",영업중
16,둔산공인중개사사무소,"대전광역시 서구 청사로 254, 상가 101호(둔산2동,둥지(아))",영업중
17,호강공인중개사사무소,대전광역시 서구 도솔로 96(도마2동),영업중
18,수만금공인중개사사무소,"대전광역시 서구 둔산중로72번길 32, 110호(둔산동, 아크로프라자)",영업중
19,옥수 공인중개사사무소,"대전광역시 서구 관저로 24, 1층 109호, 110호(관저동)",영업중
20,목화공인중개사사무소,"대전광역시 서구 둔산중로 54, 603호(둔산동, 센티온)",영업중
21,푸른공인중개사사무소,"대전광역시 서구 신갈마로 95, 상가 217-3호(갈마1동,갈마(아))",영업중
22,신한국공인중개사사무소,대전광역시 서구 조달청길 84(도마2동),영업중
23,로타리공인중개사사무소,대전광역시 서구 둔산남로 42(둔산2동),영업중
24,성신공인중개사사무소,대전광역시 서구 갈마역로11번길 29(갈마1동),영업중
25,삼흥공인중개사사무소,"대전광역시 서구 대덕대로 415, 상가 105호(만년동,상아(아))",영업중
26,LG공인중개사사무소,대전광역시 서구 만년남로3번길 45(만년동),영업중
27,백합공인중개사사무소,"대전광역시 서구 청사서로 29, 상가120호(월평동,샛별(아))",영업중
28,태명공인중개사사무소,대전광역시 서구 월평로 98-1(월평1동),영업중
29,소망공인중개사사무소,"대전광역시 서구 계룡로500번길 54, 1층(갈마동)",영업중
30,둔지미공인중개사사무소,"대전광역시 서구 청사로 120, 101호(월평동)",영업중
31,상진공인중개사사무소,대전광역시 서구 도산로 310(가장동),영업중
32,상록수공인중개사사무소,"대전광역시 서구 만년남로 8, 상가 113호(만년동,상록수(아))",영업중
33,문정공인중개사사무소,대전광역시 서구 문정로170번길 192(둔산3동),영업중
34,행운공인중개사사무소,"대전광역시 서구 대덕대로 415, 상가 103호(만년동,상아(아))",영업중
35,백제공인중개사사무소,"대전광역시 서구 가장로 40, 2층(괴정동)",영업중
36,드림공인중개사사무소,대전광역시 서구 갈마로 211(괴정동),영업중
37,솔로몬공인중개사사무소,"대전광역시 서구 월평로48번길 8, 1층(월평1동)",영업중
38,성보공인중개사사무소,대전광역시 서구 변동로 73(변동),영업중
39,이명석공인중개사사무소,"대전광역시 서구 계룡로615번길 51, 101호",영업중
40,용문포스코탑공인중개사사무소,"대전광역시 서구 계룡로 663-17, 1층(용문동)",영업중
41,신우공인중개사사무소,대전광역시 서구 조달청길 137(도마1동),영업중
42,백두공인중개사사무소,대전광역시 서구 동서대로 1078(변동),영업중
43,새시대공인중개사사무소,대전광역시 서구 남선로60번길 11(탄방동),영업중
44,가로수공인중개사사무소,"대전광역시 서구 계룡로571번길 65, 상가112호(탄방동,산호(아))",영업중
45,다정공인중개사사무소,대전광역시 서구 둔산남로179번길 7(둔산3동),영업중
46,88공인중개사사무소,대전광역시 서구 문정로 124(탄방동),영업중
47,샘머리랜드공인중개사사무소,"대전광역시 서구 청사로 281, 샘머리아파트 분산상가동 104호(둔산동)",영업중
48,상아공인중개사사무소,"대전광역시 서구 대덕대로 415, 상가 107호(만년동,상아(아))",영업중
49,백현남공인중개사사무소,대전광역시 서구 신갈마로 123(갈마1동),영업중
50,현대아이텔부동산중개인사무소,"대전광역시 서구 둔산로 133, 103호,121호(둔산1동,둔산현대아이텔)",영업중
51,해리타운공인중개사사무소,"대전광역시 서구 갈마로 262, 상가 501-109(내동, 맑은아침(아))",영업중
52,한빛공인중개사사무소,"대전광역시 서구 도솔로 215-1, 1층 좌측(변동)",영업중
53,아너스빌공인중개사사무소,"대전광역시 서구 둔산북로 121, 107호 (둔산1동, 아너스빌)",영업중
54,황금공인중개사사무소,"대전광역시 서구 관저로 83, 상가 108호 (관저2동, 신선마을(아))",영업중
55,랜드공인중개사사무소,"대전광역시 서구 괴정로 203, 106호(용문동, 덕일한마음아파트)",영업중
56,국화랜드공인중개사사무소,"대전광역시 서구 둔산로 201, 신동아상가 102호 (둔산3동, 국화(아))",영업중
57,해솔공인중개사사무소,"대전광역시 서구 월평동로 45, 상가 112호(월평3동,진달래(아))",영업중
58,복수공인중개사사무소,"대전광역시 서구 복수남로 38, 102호(복수동)",영업중
59,부동산써브현대공인중개사,"대전광역시 서구 만년남로 8, 상가115호(만년동,상록수(아))",영업중
60,양지공인중개사사무소,대전광역시 서구 월평로 102(월평1동),영업중
61,이주공인중개사사무소,대전광역시 서구 갈마로147번길 76(갈마2동),영업중
62,성지공인중개사사무소,대전광역시 서구 도산로 290(가장동),영업중
63,제일공인중개사사무소,대전광역시 서구 만년로 14(만년동),영업중
64,광개토공인중개사사무소,대전광역시 서구 도산로 401(탄방동),영업중
65,한성공인중개사사무소,"대전광역시 서구 도솔로 283, 1층(내동)",영업중
